   164/199     2.51G    0.0201  0.006415  0.001196   0.02771         7       640    0.9806         1    0.9957    0.9349   0.00904  0.002982 0.0009732
   165/199     2.51G     0.024   0.00716  0.001253   0.03242         4       640    0.9859         1    0.9958    0.9417  0.009301  0.002897 0.0009684
   166/199     2.51G   0.01901  0.006507  0.001239   0.02675         9       640    0.9837         1    0.9957    0.9071    0.0104  0.003024 0.0009516
   167/199     2.51G   0.02209  0.007158   0.00131   0.03055         7       640    0.9864         1    0.9957    0.9466  0.008341  0.002817 0.0009435
   168/199     2.51G   0.02031  0.007375  0.001266   0.02895         6       640    0.9729         1    0.9957    0.8846   0.01077  0.003061 0.0009316
   169/199     2.51G   0.01959  0.006894  0.001241   0.02773         8       640      0.97         1    0.9957    0.9168   0.01018  0.002899 0.0009168
   170/199     2.51G   0.01986  0.006743  0.001345   0.02795         5       640    0.9696         1    0.9957    0.9238  0.008013  0.002744 0.0009217
   171/199     2.51G   0.01911  0.007032  0.001265    0.0274         6       640    0.9655         1    0.9957    0.9046    0.0109  0.002893 0.0009132
   172/199     2.51G   0.01886  0.006076  0.001234   0.02617         5       640    0.9641         1    0.9957    0.9595      0.01  0.002774 0.0009206
   173/199     2.51G   0.01988  0.007163  0.001332   0.02837         6       640    0.9679         1    0.9957    0.9384  0.008362  0.002782 0.0009208
   174/199     2.51G   0.01704  0.005889  0.001136   0.02406         3       640    0.9509         1    0.9957    0.9484  0.008478  0.002833  0.000907
   175/199     2.51G   0.01816  0.006936  0.001182   0.02628         6       640    0.9515         1    0.9957    0.9482  0.007595   0.00278 0.0009016
   176/199     2.51G   0.01942  0.006605  0.001165   0.02719         6       640    0.9678         1    0.9957    0.9322   0.00907  0.002848 0.0008835
   177/199     2.51G    0.0192  0.006934  0.001155   0.02729         3       640    0.9805         1    0.9958    0.9474  0.007999   0.00272 0.0008728
   178/199     2.51G   0.01799  0.006841  0.001194   0.02603         4       640    0.9855         1    0.9957    0.9542  0.006691  0.002602 0.0008663
   179/199     2.51G   0.01463  0.006252  0.001101   0.02198         5       640    0.9903         1    0.9958    0.9503  0.008327  0.002708 0.0008455
   180/199     2.51G    0.0179  0.007865  0.001284   0.02705         6       640    0.9903         1    0.9958    0.9548  0.009143  0.002713 0.0008255
   181/199     2.51G   0.02206  0.007449  0.001187   0.03069         7       640    0.9902         1    0.9958    0.9392  0.008903  0.002752 0.0008161
   182/199     2.51G   0.02115  0.007304  0.001169   0.02962         4       640    0.9849         1    0.9958    0.9211  0.008523  0.002726 0.0008115
   183/199     2.51G   0.01828   0.00659  0.001037   0.02591         6       640     0.987         1    0.9958     0.964  0.006185  0.002513 0.0008083
   184/199     2.51G   0.01464  0.006396  0.001092   0.02213         7       640    0.9901         1    0.9958     0.958  0.006732  0.002588 0.0008022
   185/199     2.51G   0.01548  0.006499  0.001137   0.02312         6       640    0.9859         1    0.9958    0.9226  0.008479  0.002807 0.0007872
   186/199     2.51G   0.01786  0.005786  0.001077   0.02472         3       640    0.9784         1    0.9959    0.9475  0.006966  0.002528  0.000781
   187/199     2.51G   0.01876  0.006838  0.001036   0.02664         5       640    0.9702         1    0.9959    0.9073  0.008794   0.00277 0.0007749
   188/199     2.51G   0.01516  0.006522 0.0009713   0.02265         7       640    0.9783         1    0.9959    0.9565  0.007317  0.002587 0.0007697
   189/199     2.51G   0.01652  0.007405  0.001054   0.02498         7       640    0.9796         1    0.9959    0.9408  0.006554  0.002504 0.0007664
   190/199     2.51G   0.01748  0.006157 0.0009665    0.0246         6       640    0.9751         1    0.9959    0.9246  0.007807  0.002553 0.0007524
   191/199     2.51G   0.01529  0.005729 0.0009853     0.022         3       640    0.9745         1    0.9959    0.9637  0.006648  0.002485 0.0007498
   192/199     2.51G   0.01857   0.00663  0.001162   0.02637         6       640    0.9695         1    0.9959    0.9063   0.01002  0.002758 0.0007491
   193/199     2.51G   0.01821  0.006677  0.001021   0.02591         5       640    0.9682         1    0.9958    0.9296   0.00782  0.002656 0.0007515
   194/199     2.51G   0.02034  0.006707 0.0009795   0.02803         4       640    0.9663         1    0.9958    0.9473  0.007597  0.002542 0.0007538
   195/199     2.51G   0.01796  0.006053 0.0009885     0.025         6       640    0.9734         1    0.9958    0.9215  0.007622  0.002603 0.0007625
   196/199     2.51G   0.01632    0.0065  0.001015   0.02383         5       640    0.9762         1    0.9958    0.9451  0.006711   0.00256 0.0007635
   197/199     2.51G   0.01802    0.0071  0.001139   0.02626         7       640     0.976         1    0.9958    0.9595  0.007672  0.002589 0.0007644
   198/199     2.51G   0.01773  0.007288  0.001013   0.02603         5       640    0.9787         1    0.9958      0.93   0.01015   0.00268 0.0007623
   199/199     2.51G   0.01839  0.005951 0.0009449   0.02529         4       640    0.9819         1    0.9958    0.9501  0.008205  0.002503 0.0007627
